order,notebook,role,source,curated_sha256
01,01_data_preparation.ipynb,Validated volume splitting and 3D patch preparation,Maintained package workflow,602e955c3f1b8924ef83c509f47ce69c41ae70a8bd7903289f79c8afb5089d0e
02,02_vox2vox_reconstruction.ipynb,Binary- and multimineral-conditioned Vox2Vox reconstruction,Maintained package workflow,b4052de12c8a9c3d2b0bcddf60df6ba7e7b51d5cf3857f4510a0f1fde0e02fe3
03,03_unet_uresnet_segmentation.ipynb,3D U-Net and U-ResNet segmentation,Maintained package workflow,a6f23d4af0806e08930ad9761d6f5c921b54884713d91651e9bf6ed89a2228a9
04,04_hybrid_unet_gan_reconstruction.ipynb,Segmentation-informed hybrid U-Net-GAN reconstruction,Maintained package workflow,1dfd614e91e1dafb1b2db54e4d5830795522eea771551e9c9814560eb7539002
05,05_image_and_pore_network_metrics.ipynb,"Image, morphology, and pore-network comparisons",Maintained package workflow,2d657821a954ba6d5259d8b3eee675557d72aecffa5cb550a299694c4feb9b72
06,06_relative_permeability_analysis.ipynb,Relative permeability and flow validation,Maintained package workflow,79570c2122ddaf5683e68a13cc6f51f6ced7e27f9cba365fd276328e53a2bdba
